Price,Status Text,Status Type,Area,Beds,Baths,State,City,Street,Zipcode
"1,095,000",FOR_SALE,FOR_SALE,3226 sqft,3,4.0,CO,Louisville,339 East St,80027
"649,900",FOR_SALE,FOR_SALE,2874 sqft,5,4.0,CO,Westminster,9585 W 89th Avenue,80021
"709,000",FOR_SALE,FOR_SALE,2297 sqft,3,3.0,CO,Canon City,1512 Colorado Ave,81212
"233,500",FOR_SALE,FOR_SALE,928 sqft,2,2.0,CO,Colorado Springs,3145 Starlight Cir,80916
"349,900",FOR_SALE,FOR_SALE,1554 sqft,3,3.0,CO,Denver,7476 E Arkansas Avenue  Unit 3804,80231
"3,680,000",FOR_SALE,FOR_SALE,11363 sqft,6,6.0,CO,Boulder,1044 White Hawk Ranch Dr,80303
"6,800,000",FOR_SALE,FOR_SALE,4739 sqft,4,4.0,CO,Basalt,421 Lewis Ln,81621
"369,500",FOR_SALE,FOR_SALE,1128 sqft,3,0.0,CO,Colorado Springs,4225 Shining Way,80916
"450,000",FOR_SALE,FOR_SALE,1135 sqft,2,2.0,CO,Denver,740 N Pearl Street  Unit 704,80203
"350,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Elizabeth,Joseph Cir #2,80107
"430,000",FOR_SALE,FOR_SALE,1424 sqft,3,2.0,CO,Commerce City,7730 E 84th Avenue,80022
"580,000",FOR_SALE,FOR_SALE,2688 sqft,4,3.0,CO,Colorado Springs,2161 London Carriage Grv,80920
"685,000",FOR_SALE,FOR_SALE,2719 sqft,4,3.0,CO,Centennial,8086 S Willow Court,80112
"635,000",FOR_SALE,FOR_SALE,2880 sqft,5,3.0,CO,Arvada,9718 W 74th Place,80005
"750,000",FOR_SALE,FOR_SALE,4683 sqft,5,3.0,CO,Parker,6000 Merchant Place,80134
"900,000",FOR_SALE,FOR_SALE,4478 sqft,4,5.0,CO,Parker,23288 Allendale Avenue,80138
"535,000",FOR_SALE,FOR_SALE,1568 sqft,3,2.0,CO,Westminster,9061 W 91st Place,80021
"385,000",FOR_SALE,FOR_SALE,1392 sqft,2,2.0,CO,Broomfield,12565 Sheridan Blvd UNIT 107,80020
"925,000",FOR_SALE,FOR_SALE,4605 sqft,5,5.0,CO,Fort Collins,833 Roma Valley Dr,80525
"215,000",FOR_SALE,FOR_SALE,2208 sqft,4,2.0,CO,Pueblo,12 Meadowbrook Dr,81001
"415,000",FOR_SALE,FOR_SALE,2061 sqft,4,4.0,CO,Westminster,7948 W 90th Avenue  Unit 104,80021
"22,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Crestone,3924 Cordial Way,81131
"1,500,000",FOR_SALE,FOR_SALE,3333 sqft,4,4.0,CO,Durango,33 Lime Mesa Ct,81301
"415,000",FOR_SALE,FOR_SALE,1741 sqft,2,2.0,CO,Fort Collins,5550 Corbett Dr UNIT 9,80528
"157,900",FOR_SALE,FOR_SALE,712 sqft,2,1.0,CO,Pueblo,1632 Cypress St,81004
"525,000",FOR_SALE,FOR_SALE,2960 sqft,3,2.0,CO,Lochbuie,219 Firestone Circle,80603
"445,000",FOR_SALE,FOR_SALE,1291 sqft,3,2.0,CO,Fort Collins,3768 Gardenwall Ct,80524
"768,000",FOR_SALE,FOR_SALE,3742 sqft,4,4.0,CO,Colorado Springs,1120 Allegheny Dr,80919
"369,000",FOR_SALE,FOR_SALE,2410 sqft,4,3.0,CO,Canon City,1602 Logan St,81212
"390,975",FOR_SALE,FOR_SALE,1341 sqft,3,2.0,CO,Ault,446 Pony Express Trl,80610
"340,000",FOR_SALE,FOR_SALE,1331 sqft,3,2.0,CO,Pueblo,1004 Cedarcrest Dr,81005
"695,000",FOR_SALE,FOR_SALE,2261 sqft,2,2.0,CO,Broomfield,10787 Bear Cub Dr,80021
"275,000",FOR_SALE,FOR_SALE,918 sqft,2,1.0,CO,Fort Collins,705 E Drake Rd UNIT 26,80525
"49,900",FOR_SALE,FOR_SALE,None sqft,,0.0,CO,Craig,County Road 70 LOT 11,81625
